###FILE ALREADY PARSED###
BPM 273 120
BPM 179090.15 80
18273 0 1
18430.07 0 3
18587.14 0 5
18744.2 0 7
19058.34 0 7
19215.41 0 6
19372.48 0 4
19529.54 0 3
19686.61 0 3
19843.68 0 1
20000.75 0 1
20157.82 0 3
20236.35 0 2
20314.88 0 3
20471.95 0 1
20629.02 0 1
20786.09 0 1
20943.16 0 3
21100.22 0 5
21257.29 0 7
21571.43 0 7
21728.5 0 5
21885.57 0 3
22042.63 0 2
22199.7 0 2
22356.77 0 1
22513.84 0 1
22670.91 0 2
22749.44 0 3
22827.97 0 2
22985.04 0 1
23299.18 0 2
23299.18 0 1
23299.18 0 7
23456.25 0 3
23613.31 0 5
23770.38 0 6
23770.38 0 1
23927.45 0 1
23927.45 0 7
24084.52 0 6
24241.59 0 5
24398.65 0 4
24398.65 0 1
24555.72 0 3
24712.79 0 3
24712.79 0 1
24869.86 0 2
24869.86 0 1
25026.93 0 3
25105.46 0 4
25184 0 3
25341.06 0 2
25419.6 0 4
25498.13 0 2
25498.13 0 1
25655.2 0 2
25812.27 0 2
25812.27 0 1
25812.27 0 7
25969.34 0 3
26126.4 0 5
26283.47 0 6
26283.47 0 1
26440.54 0 1
26440.54 0 7
26597.61 0 6
26754.68 0 5
26911.74 0 4
26911.74 0 1
27068.81 0 3
27225.88 0 3
27225.88 0 1
27382.95 0 2
27382.95 0 1
27540.02 0 3
27618.55 0 4
27697.08 0 3
27854.15 0 3
28011.22 0 1
28011.22 0 2
28325.36 0 6
28325.36 0 1
28325.36 0 7
28482.42 0 5
28639.49 0 4
28796.56 0 1
28796.56 0 3
28953.63 0 7
28953.63 0 1
28953.63 0 6
29110.7 0 5
29267.76 0 5
29424.83 0 1
29424.83 0 4
29581.9 0 6
29738.97 0 1
29738.97 0 5
29896.04 0 1
29896.04 0 4
30053.11 0 3
30210.17 0 6
30367.24 0 5
30524.31 0 1
30524.31 0 5
30681.38 0 4
30838.45 0 7
30838.45 0 1
30838.45 0 5
30995.51 0 4
31152.58 0 3
31309.65 0 1
31309.65 0 2
31466.72 0 7
31466.72 0 1
31466.72 0 4
31623.79 0 3
31780.85 0 3
31937.92 0 1
31937.92 0 2
32094.99 0 5
32094.99 0 7
32252.06 0 6
32252.06 0 4
32252.06 0 1
32409.13 0 1
32409.13 0 3
32566.19 0 2
32566.19 0 7
32723.26 0 4
32880.33 0 3
32880.33 0 6
33037.4 0 3
33037.4 0 1
33037.4 0 6
33194.47 0 2
33351.53 0 7
33351.53 0 6
33351.53 0 1
33508.6 0 5
33665.67 0 4
33822.74 0 3
33822.74 0 1
33979.81 0 1
33979.81 0 6
33979.81 0 7
34136.87 0 5
34293.94 0 5
34451.01 0 4
34451.01 0 1
34608.08 0 6
34765.15 0 5
34765.15 0 1
34922.21 0 4
34922.21 0 1
