###FILE ALREADY PARSED###
BPM 64 120
11035.43 0 7
11035.43 0 3
11121.14 0 4
11292.57 0 3
11378.29 0 6
11378.29 0 4
11549.71 0 2
11635.43 0 1
11806.86 0 2
11892.57 0 7
11892.57 0 1
12064 0 2
12064 0 6
12235.43 0 1
12406.86 0 7
12406.86 0 4
12492.57 0 5
12664 0 4
12749.71 0 6
12749.71 0 5
12921.14 0 3
13006.86 0 2
13178.29 0 3
13264 0 7
13264 0 2
13435.43 0 6
13435.43 0 3
13606.86 0 2
13778.29 0 1
13778.29 0 5
13864 0 6
14035.43 0 5
14121.14 0 2
14121.14 0 6
14292.57 0 4
14378.29 0 3
14549.71 0 4
14635.43 0 1
14635.43 0 3
14806.86 0 2
14806.86 0 4
14978.29 0 3
15149.71 0 1
15149.71 0 3
15235.43 0 4
15406.86 0 3
15492.57 0 2
15492.57 0 4
15578.29 0 5
15664 0 6
15749.71 0 7
15835.43 0 3
15921.14 0 4
16006.86 0 1
16006.86 0 5
16092.57 0 6
16178.29 0 7
16178.29 0 2
16264 0 6
16349.71 0 5
16435.43 0 4
16521.14 0 3
16521.14 0 7
16606.86 0 4
16778.29 0 3
16864 0 4
16864 0 6
17035.43 0 2
17121.14 0 1
17292.57 0 2
17378.29 0 1
17378.29 0 7
17549.71 0 6
17549.71 0 2
17721.14 0 1
17892.57 0 4
17892.57 0 7
17978.29 0 5
18149.71 0 4
18235.43 0 5
18235.43 0 6
18406.86 0 3
18492.57 0 2
18664 0 3
18749.71 0 2
18749.71 0 7
18921.14 0 3
18921.14 0 6
19092.57 0 2
19264 0 5
19264 0 1
19349.71 0 6
19521.14 0 5
19606.86 0 6
19606.86 0 2
19778.29 0 4
19864 0 3
20035.43 0 4
20121.14 0 3
20121.14 0 1
20292.57 0 4
20292.57 0 2
20464 0 3
20635.43 0 3
20635.43 0 1
20721.14 0 4
20892.57 0 3
20978.29 0 4
20978.29 0 2
21064 0 5
21149.71 0 6
21235.43 0 7
21321.14 0 3
21406.86 0 4
21492.57 0 1
21492.57 0 5
21578.29 0 6
21664 0 2
21664 0 7
21749.71 0 6
21835.43 0 5
21921.14 0 4
22006.86 0 7
22006.86 0 3
22092.57 0 1
22178.29 0 2
22264 0 4
22349.71 0 6
22349.71 0 1
22435.43 0 2
22521.14 0 4
22606.86 0 5
22864 0 7
23035.43 0 6
23378.29 0 7
23378.29 0 4
23464 0 1
23549.71 0 5
23635.43 0 4
23721.14 0 6
23721.14 0 1
23806.86 0 2
23892.57 0 3
23978.29 0 4
24235.43 0 7
24406.86 0 6
24749.71 0 1
24749.71 0 5
24835.43 0 3
24921.14 0 4
25006.86 0 6
25092.57 0 2
25092.57 0 3
25178.29 0 4
25264 0 6
25349.71 0 7
25606.86 0 1
25778.29 0 2
26121.14 0 1
26121.14 0 3
26206.86 0 4
26292.57 0 5
26378.29 0 6
26464 0 2
26464 0 4
26549.71 0 5
26635.43 0 6
26721.14 0 7
26806.86 0 3
26892.57 0 5
26978.29 0 1
26978.29 0 6
27064 0 4
27149.71 0 2
27149.71 0 7
27235.43 0 6
27321.14 0 5
27406.86 0 4
27492.57 0 7
27492.57 0 3
27578.29 0 1
27664 0 2
27749.71 0 4
27835.43 0 6
27835.43 0 1
27921.14 0 2
28006.86 0 4
28092.57 0 5
28349.71 0 7
28521.14 0 6
28864 0 7
28864 0 4
28949.71 0 1
29035.43 0 5
29121.14 0 4
29206.86 0 6
29206.86 0 1
29292.57 0 2
29378.29 0 3
29464 0 4
29721.14 0 7
29892.57 0 6
30235.43 0 1
30235.43 0 5
30321.14 0 3
30406.86 0 4
30492.57 0 6
30578.29 0 2
30578.29 0 3
30664 0 4
30749.71 0 6
30835.43 0 7
31092.57 0 1
31264 0 2
31606.86 0 1
31606.86 0 3
31692.57 0 4
31778.29 0 5
31864 0 6
31949.71 0 2
31949.71 0 4
32035.43 0 5
32121.14 0 6
32206.86 0 7
32292.57 0 3
32378.29 0 5
32464 0 1
32464 0 6
32549.71 0 4
32635.43 0 7
32635.43 0 2
32721.14 0 6
32806.86 0 5
32892.57 0 4
32978.29 0 7
32978.29 0 3
33064 0 1
33149.71 0 2
33235.43 0 4
33321.14 0 6
33321.14 0 1
33406.86 0 2
33492.57 0 3
33578.29 0 4
33664 0 6
33749.71 0 5
33835.43 0 1
33835.43 0 4
34006.86 0 2
34006.86 0 4
34178.29 0 5
34264 0 6
34349.71 0 7
34349.71 0 4
34435.43 0 1
34521.14 0 5
34606.86 0 4
34692.57 0 6
34692.57 0 1
34778.29 0 2
34864 0 3
34949.71 0 4
35035.43 0 7
35121.14 0 6
35206.86 0 1
35206.86 0 5
35292.57 0 4
35378.29 0 2
35378.29 0 6
35464 0 5
35549.71 0 4
35635.43 0 6
35721.14 0 7
35721.14 0 3
